vphi = , 0.00636396 vtheta = , 0.00707107 y and z = ,-1.04571,-0.863392
vphi = , 0.00657107 vtheta = , 0.00657107 y and z = ,-1.07125,-0.802341
vphi = , 0.00707107 vtheta = , 0.00636396 y and z = ,-1.13203,-0.777052
vphi = , 0.00757107 vtheta = , 0.00657107 y and z = ,-1.19244,-0.802341
vphi = , 0.001 vtheta = , 0.01 y and z = ,-0.390265,-1.22102
vphi = , 0.000707107 vtheta = , 0.0107071 y and z = ,-0.353626,-1.30736
vphi = , 6.73556e-19 vtheta = , 0.011 y and z = ,-0.26694,-1.34312
vphi = , -0.000707107 vtheta = , 0.0107071 y and z = ,-0.180988,-1.30736
vphi = , -0.001 vtheta = , 0.01 y and z = ,-0.146117,-1.22102
vphi = , -0.000707107 vtheta = , 0.00929289 y and z = ,-0.182753,-1.13468
vphi = , 4.28626e-19 vtheta = , 0.009 y and z = ,-0.269436,-1.09892
vphi = , 0.000707107 vtheta = , 0.00929289 y and z = ,-0.355391,-1.13468
vphi = , -0.00636396 vtheta = , 0.00707107 y and z = ,0.508034,-0.863392
vphi = , -0.00657107 vtheta = , 0.00757107 y and z = ,0.53394,-0.924443
vphi = , -0.00707107 vtheta = , 0.00777817 y and z = ,0.595602,-0.949731
vphi = , -0.00757107 vtheta = , 0.00757107 y and z = ,0.656899,-0.924443
vphi = , -0.00777817 vtheta = , 0.00707107 y and z = ,0.681923,-0.863392
vphi = , -0.00757107 vtheta = , 0.00657107 y and z = ,0.656016,-0.802341
vphi = , -0.00707107 vtheta = , 0.00636396 y and z = ,0.594355,-0.777052
vphi = , -0.00657107 vtheta = , 0.00657107 y and z = ,0.53306,-0.802341
vphi = , -0.009 vtheta = , 1.22465e-18 y and z = ,0.829242,1.22432e-12
vphi = , -0.00929289 vtheta = , 0.000707107 y and z = ,0.865361,-0.0863392
vphi = , -0.01 vtheta = , 0.001 y and z = ,0.952562,-0.122102
vphi = , -0.0107071 vtheta = , 0.000707107 y and z = ,1.03977,-0.0863392
vphi = , -0.011 vtheta = , 1.34711e-18 y and z = ,1.07589,1.22432e-12
vphi = , -0.0107071 vtheta = , -0.000707107 y and z = ,1.03977,0.0863392
vphi = , -0.01 vtheta = , -0.001 y and z = ,0.952562,0.122102
vphi = , -0.00929289 vtheta = , -0.000707107 y and z = ,0.865361,0.0863392
vphi = , -0.00636396 vtheta = , -0.00707107 y and z = ,0.508034,0.863392
vphi = , -0.00657107 vtheta = , -0.00657107 y and z = ,0.53306,0.802341
vphi = , -0.00707107 vtheta = , -0.00636396 y and z = ,0.594355,0.777052
vphi = , -0.00757107 vtheta = , -0.00657107 y and z = ,0.656016,0.802341
vphi = , -0.00777817 vtheta = , -0.00707107 y and z = ,0.681923,0.863392
vphi = , -0.00757107 vtheta = , -0.00757107 y and z = ,0.656899,0.924443
vphi = , -0.00707107 vtheta = , -0.00777817 y and z = ,0.595602,0.949731
vphi = , -0.00657107 vtheta = , -0.00757107 y and z = ,0.53394,0.924443
vphi = , 0.001 vtheta = , -0.01 y and z = ,-0.390265,1.22102
vphi = , 0.000707107 vtheta = , -0.00929289 y and z = ,-0.355391,1.13468
vphi = , -1.77574e-18 vtheta = , -0.009 y and z = ,-0.269436,1.09892
vphi = , -0.000707107 vtheta = , -0.00929289 y and z = ,-0.182753,1.13468
vphi = , -0.001 vtheta = , -0.01 y and z = ,-0.146117,1.22102
vphi = , -0.000707107 vtheta = , -0.0107071 y and z = ,-0.180988,1.30736
vphi = , -2.02067e-18 vtheta = , -0.011 y and z = ,-0.26694,1.34312
vphi = , 0.000707107 vtheta = , -0.0107071 y and z = ,-0.353626,1.30736
vphi = , 0.00777817 vtheta = , -0.00707107 y and z = ,-1.2171,0.863392
vphi = , 0.00757107 vtheta = , -0.00657107 y and z = ,-1.19244,0.802341
vphi = , 0.00707107 vtheta = , -0.00636396 y and z = ,-1.13203,0.777052
vphi = , 0.00657107 vtheta = , -0.00657107 y and z = ,-1.07125,0.802341
vphi = , 0.00636396 vtheta = , -0.00707107 y and z = ,-1.04571,0.863392
vphi = , 0.00657107 vtheta = , -0.00757107 y and z = ,-1.07037,0.924443
vphi = , 0.00707107 vtheta = , -0.00777817 y and z = ,-1.13078,0.949731
vphi = , 0.00757107 vtheta = , -0.00757107 y and z = ,-1.19156,0.924443
