vphi = , -0.00378553 vtheta = , 0.00378553 y and z = ,0.189451,-0.462221,36.505
vphi = , -0.00388909 vtheta = , 0.00353553 y and z = ,0.202029,-0.431696,36.5046
vphi = , -0.00378553 vtheta = , 0.00328553 y and z = ,0.189234,-0.40117,36.5042
vphi = , -0.00353553 vtheta = , 0.00318198 y and z = ,0.158562,-0.388526,36.5042
vphi = , -0.00328553 vtheta = , 0.00328553 y and z = ,0.12798,-0.40117,36.5044
vphi = , -0.0045 vtheta = , 6.12323e-19 y and z = ,0.276154,1.22431e-12,36.4993
vphi = , -0.00464645 vtheta = , 0.000353553 y and z = ,0.294122,-0.0431696,36.4997
vphi = , -0.005 vtheta = , 0.0005 y and z = ,0.337499,-0.061051,36.4998
vphi = , -0.00535355 vtheta = , 0.000353553 y and z = ,0.380876,-0.0431696,36.4995
vphi = , -0.0055 vtheta = , 6.73556e-19 y and z = ,0.398843,1.22431e-12,36.499
vphi = , -0.00535355 vtheta = , -0.000353553 y and z = ,0.380876,0.0431696,36.4985
vphi = , -0.005 vtheta = , -0.0005 y and z = ,0.337499,0.061051,36.4984
vphi = , -0.00464645 vtheta = , -0.000353553 y and z = ,0.294122,0.0431696,36.4987
vphi = , -0.00318198 vtheta = , -0.00353553 y and z = ,0.115402,0.431696,36.4946
vphi = , -0.00328553 vtheta = , -0.00328553 y and z = ,0.12798,0.40117,36.4949
vphi = , -0.00353553 vtheta = , -0.00318198 y and z = ,0.158562,0.388526,36.495
vphi = , -0.00378553 vtheta = , -0.00328553 y and z = ,0.189234,0.40117,36.4948
vphi = , -0.00388909 vtheta = , -0.00353553 y and z = ,0.202029,0.431696,36.4944
vphi = , -0.00378553 vtheta = , -0.00378553 y and z = ,0.189451,0.462221,36.4941
vphi = , -0.00353553 vtheta = , -0.00388909 y and z = ,0.158869,0.474865,36.494
vphi = , -0.00328553 vtheta = , -0.00378553 y and z = ,0.128197,0.462221,36.4942
vphi = , 0.0005 vtheta = , -0.005 y and z = ,-0.333914,0.61051,36.4937
vphi = , 0.000353553 vtheta = , -0.00464645 y and z = ,-0.316253,0.56734,36.4941
vphi = , -8.87869e-19 vtheta = , -0.0045 y and z = ,-0.273183,0.549459,36.4942
vphi = , -0.000353553 vtheta = , -0.00464645 y and z = ,-0.229934,0.56734,36.4939
vphi = , -0.0005 vtheta = , -0.005 y and z = ,-0.21184,0.61051,36.4933
vphi = , -0.000353553 vtheta = , -0.00535355 y and z = ,-0.2295,0.65368,36.4929
vphi = , -1.01033e-18 vtheta = , -0.0055 y and z = ,-0.27257,0.671561,36.4928
vphi = , 0.000353553 vtheta = , -0.00535355 y and z = ,-0.31582,0.65368,36.4931
vphi = , 0.00388909 vtheta = , -0.00353553 y and z = ,-0.747487,0.431696,36.4969
vphi = , 0.00378553 vtheta = , -0.00328553 y and z = ,-0.734999,0.40117,36.4972
vphi = , 0.00353553 vtheta = , -0.00318198 y and z = ,-0.704634,0.388526,36.4972
vphi = , 0.00328553 vtheta = , -0.00328553 y and z = ,-0.674179,0.40117,36.497
vphi = , 0.00318198 vtheta = , -0.00353553 y and z = ,-0.661475,0.431696,36.4966
vphi = , 0.00328553 vtheta = , -0.00378553 y and z = ,-0.673963,0.462221,36.4963
vphi = , 0.00353553 vtheta = , -0.00388909 y and z = ,-0.704328,0.474865,36.4962
vphi = , 0.00378553 vtheta = , -0.00378553 y and z = ,-0.734782,0.462221,36.4965
